Gen	np	tree	tau_4L_tuulukwa_CA_Trinity_AlpsL_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	tau_5L_tuulukwa_OR_Marys_PeakL_tuulukwa_OR_Knowles_Creek	lnL
10	2	11	0.000521	0.000248	-10845.506
20	2	11	0.000625	0.000392	-10843.828
30	2	11	0.000586	0.000372	-10845.883
40	2	11	0.000721	0.000313	-10846.097
50	2	11	0.000542	0.000300	-10843.806
60	2	11	0.000684	0.000390	-10848.223
70	2	11	0.000475	0.000168	-10841.240
80	2	11	0.000719	0.000194	-10847.647
90	2	11	0.000857	0.000317	-10847.837
100	2	11	0.001005	0.000401	-10851.101
110	2	11	0.000874	0.000208	-10842.109
120	2	11	0.001157	0.000385	-10849.760
130	2	11	0.001023	0.000443	-10845.380
140	2	11	0.000717	0.000291	-10845.609
150	2	11	0.000913	0.000229	-10847.367
160	2	11	0.000942	0.000266	-10838.206
170	2	11	0.001144	0.000319	-10840.477
180	2	11	0.000797	0.000219	-10842.772
190	2	11	0.000683	0.000222	-10836.092
200	2	11	0.000639	0.000462	-10852.003
210	2	11	0.000595	0.000146	-10839.444
220	2	11	0.000578	0.000217	-10843.371
230	2	11	0.000443	0.000165	-10838.619
240	2	11	0.000445	0.000128	-10844.789
250	2	11	0.000582	0.000275	-10853.402
260	2	11	0.000630	0.000144	-10843.031
270	2	11	0.000590	0.000144	-10842.763
280	2	11	0.000721	0.000179	-10841.843
290	2	11	0.000608	0.000253	-10844.556
300	2	11	0.000529	0.000203	-10845.538
310	2	11	0.000445	0.000325	-10848.185
320	2	11	0.000422	0.000189	-10843.848
330	2	11	0.000541	0.000418	-10847.090
340	2	11	0.000493	0.000431	-10845.571
350	2	11	0.000539	0.000312	-10845.697
360	2	11	0.000478	0.000278	-10844.106
370	2	11	0.000460	0.000289	-10842.087
380	2	11	0.000671	0.000178	-10844.341
390	2	11	0.000741	0.000202	-10839.497
400	2	11	0.000545	0.000300	-10860.575
410	2	11	0.000560	0.000242	-10846.734
420	2	11	0.000474	0.000195	-10849.258
430	2	11	0.000350	0.000248	-10845.257
440	2	11	0.000550	0.000339	-10847.686
450	2	11	0.000398	0.000266	-10840.729
460	2	11	0.000594	0.000464	-10840.039
470	2	11	0.000593	0.000389	-10836.240
480	2	11	0.000673	0.000229	-10843.444
490	2	11	0.000617	0.000508	-10846.415
500	2	11	0.000604	0.000295	-10850.745
510	2	11	0.000506	0.000213	-10843.084
520	2	11	0.000422	0.000135	-10835.799
530	2	11	0.000524	0.000183	-10845.603
540	2	11	0.000466	0.000183	-10840.088
550	2	11	0.000442	0.000187	-10844.077
560	2	11	0.000541	0.000305	-10845.453
570	2	11	0.000629	0.000300	-10848.813
580	2	11	0.000472	0.000240	-10841.158
590	2	11	0.000451	0.000220	-10845.475
600	2	11	0.000596	0.000222	-10843.461
610	2	11	0.000684	0.000175	-10845.172
620	2	11	0.000630	0.000204	-10843.220
630	2	11	0.000562	0.000288	-10844.788
640	2	11	0.000897	0.000230	-10843.093
650	2	11	0.000871	0.000169	-10844.438
660	2	11	0.000745	0.000508	-10842.923
670	2	11	0.000731	0.000320	-10844.833
680	2	11	0.000729	0.000212	-10844.703
690	2	11	0.001005	0.000321	-10841.339
700	2	11	0.000828	0.000322	-10851.162
710	2	11	0.000847	0.000329	-10858.687
720	2	11	0.000880	0.000509	-10844.386
730	2	11	0.000744	0.000277	-10845.644
740	2	11	0.000636	0.000381	-10843.038
750	2	11	0.000697	0.000374	-10843.496
760	2	11	0.000895	0.000606	-10861.113
770	2	11	0.001061	0.000295	-10846.869
780	2	11	0.000896	0.000429	-10847.415
790	2	11	0.001083	0.000346	-10847.347
800	2	11	0.000898	0.000495	-10844.380
810	2	11	0.000571	0.000392	-10846.521
820	2	11	0.000511	0.000331	-10840.108
830	2	11	0.000502	0.000408	-10845.068
840	2	11	0.000506	0.000365	-10843.049
850	2	11	0.000709	0.000435	-10852.256
860	2	11	0.000517	0.000386	-10846.547
870	2	11	0.000699	0.000300	-10838.583
880	2	11	0.000762	0.000395	-10843.934
890	2	11	0.000862	0.000373	-10844.105
900	2	11	0.000763	0.000334	-10841.503
910	2	11	0.000775	0.000472	-10853.339
920	2	11	0.000629	0.000306	-10845.389
930	2	11	0.000685	0.000536	-10852.358
940	2	11	0.000762	0.000297	-10836.932
950	2	11	0.000585	0.000282	-10841.482
960	2	11	0.000662	0.000295	-10846.814
970	2	11	0.000643	0.000256	-10840.090
980	2	11	0.000694	0.000363	-10845.484
990	2	11	0.000570	0.000294	-10844.291
1000	2	11	0.000616	0.000432	-10841.810
1010	2	11	0.000773	0.000279	-10846.612
1020	2	11	0.000888	0.000254	-10850.421
1030	2	11	0.000813	0.000224	-10846.724
1040	2	11	0.000992	0.000184	-10843.863
1050	2	11	0.000852	0.000143	-10843.314
1060	2	11	0.000960	0.000201	-10844.113
1070	2	11	0.000703	0.000298	-10846.372
1080	2	11	0.000631	0.000309	-10844.074
1090	2	11	0.000714	0.000544	-10843.229
1100	2	11	0.000512	0.000355	-10845.111
1110	2	11	0.000627	0.000279	-10846.703
1120	2	11	0.000551	0.000270	-10853.141
1130	2	11	0.000771	0.000299	-10837.131
1140	2	11	0.000763	0.000199	-10838.603
1150	2	11	0.000647	0.000151	-10839.952
1160	2	11	0.000413	0.000174	-10844.384
1170	2	11	0.000337	0.000258	-10840.710
1180	2	11	0.000470	0.000280	-10842.968
1190	2	11	0.000430	0.000332	-10844.152
1200	2	11	0.000368	0.000331	-10849.472
1210	2	11	0.000502	0.000453	-10840.277
1220	2	11	0.000625	0.000373	-10844.227
1230	2	11	0.000419	0.000272	-10838.303
1240	2	11	0.000663	0.000428	-10839.952
1250	2	11	0.000591	0.000243	-10835.385
1260	2	11	0.000614	0.000290	-10844.132
1270	2	11	0.000664	0.000376	-10846.413
1280	2	11	0.000622	0.000398	-10842.767
1290	2	11	0.000752	0.000326	-10841.316
1300	2	11	0.000590	0.000203	-10847.065
1310	2	11	0.000625	0.000206	-10844.079
1320	2	11	0.000568	0.000369	-10841.331
1330	2	11	0.000469	0.000215	-10844.410
1340	2	11	0.000627	0.000260	-10845.220
1350	2	11	0.000471	0.000174	-10839.588
1360	2	11	0.000577	0.000330	-10843.608
