lineage	p050	p075	p090	p095	p100
L_australerasa_CA_Carson_Spur_3839	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_australerasa_CA_Carson_Spur_3840	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_australerasa_CA_Carson_Spur_3841	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_australerasa_CA_Homewood_Canyon_5214	coalescentpop001	coalescentpop001	coalescentpop001	coalescentpop001	coalescentpop001
L_australerasa_CA_Martin_Meadow_3838	L_australerasa_CA_Martin_Meadow	L_australerasa_CA_Martin_Meadow	L_australerasa_CA_Martin_Meadow	L_australerasa_CA_Martin_Meadow	L_australerasa_CA_Martin_Meadow
L_australerasa_CA_Mill_Creek_5212	coalescentpop001	coalescentpop001	coalescentpop001	coalescentpop001	coalescentpop001
L_australerasa_CA_Mill_Creek_5213	coalescentpop001	coalescentpop001	coalescentpop001	coalescentpop001	coalescentpop001
L_australerasa_CA_Nanny_Creek_3864	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_australerasa_CA_Nanny_Creek_3896	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_australerasa_CA_Oyster_Lake_3844	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_australerasa_CA_Oyster_Lake_3845	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_australerasa_OR_Crater_Lake_4984	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_australerasa_OR_Crater_Lake_4986	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002	coalescentpop002
L_casta_AK_Ketchikan_4894	coalescentpop003	coalescentpop004	coalescentpop004	coalescentpop005	coalescentpop005
L_casta_AK_Prince_of_Wales_Island_4523	coalescentpop003	coalescentpop004	coalescentpop004	coalescentpop005	coalescentpop005
L_casta_CA_Mt_Tamalpais_3830	L_casta_CA_Mt_Tamalpais	L_casta_CA_Mt_Tamalpais	L_casta_CA_Mt_Tamalpais	coalescentpop004	coalescentpop004
L_casta_CA_Soda_Creek_4049	L_casta_CA_Soda_Creek	L_casta_CA_Soda_Creek	L_casta_CA_Soda_Creek	coalescentpop004	coalescentpop004
L_casta_CA_West_Branch_Mill_Creek_3703	L_casta_CA_West_Branch_Mill_Creek	L_casta_CA_West_Branch_Mill_Creek	L_casta_CA_West_Branch_Mill_Creek	L_casta_CA_West_Branch_Mill_Creek	coalescentpop004
L_casta_OR_Lost_Prairie_5204	L_casta_OR_Lost_Prairie	L_casta_OR_Lost_Prairie	L_casta_OR_Lost_Prairie	L_casta_OR_Lost_Prairie	coalescentpop003
L_casta_OR_Marys_Peak_2545	L_casta_OR_Marys_Peak	coalescentpop003	coalescentpop003	coalescentpop003	coalescentpop003
L_casta_OR_School_Creek_3041	L_casta_OR_School_Creek	L_casta_OR_School_Creek	coalescentpop003	coalescentpop003	coalescentpop003
L_casta_WA_Taneum_Creek_1400	L_casta_WA_Taneum_Creek	coalescentpop003	coalescentpop003	coalescentpop003	coalescentpop003
L_disjuncta_BC_Summit_Creek_1896	L_disjuncta_BC_Summit_Creek	L_disjuncta_BC_Summit_Creek	L_disjuncta_BC_Summit_Creek	L_disjuncta_BC_Summit_Creek	coalescentpop006
L_disjuncta_BC_Summit_Creek_3090	L_disjuncta_BC_Summit_Creek	L_disjuncta_BC_Summit_Creek	L_disjuncta_BC_Summit_Creek	L_disjuncta_BC_Summit_Creek	coalescentpop006
L_disjuncta_CA_Emerson_Creek_4122	L_disjuncta_CA_Emerson_Creek	L_disjuncta_CA_Emerson_Creek	L_disjuncta_CA_Emerson_Creek	L_disjuncta_CA_Emerson_Creek	L_disjuncta_CA_Emerson_Creek
L_disjuncta_CA_Lily_Lake_3069	L_disjuncta_CA_Lily_Lake	L_disjuncta_CA_Lily_Lake	L_disjuncta_CA_Lily_Lake	L_disjuncta_CA_Lily_Lake	coalescentpop007
L_disjuncta_CA_Salmon_Creek_4133	L_disjuncta_CA_Salmon_Creek	L_disjuncta_CA_Salmon_Creek	coalescentpop005	coalescentpop006	coalescentpop008
L_disjuncta_CA_Trinity_Alps_4115	L_disjuncta_CA_Trinity_Alps	L_disjuncta_CA_Trinity_Alps	coalescentpop005	coalescentpop006	coalescentpop008
L_disjuncta_ID_Salmon_River_4780	L_disjuncta_ID_Salmon_River	L_disjuncta_ID_Salmon_River	L_disjuncta_ID_Salmon_River	L_disjuncta_ID_Salmon_River	coalescentpop006
L_disjuncta_MT_Mill_Creek_4716	L_disjuncta_MT_Mill_Creek	L_disjuncta_MT_Mill_Creek	L_disjuncta_MT_Mill_Creek	L_disjuncta_MT_Mill_Creek	coalescentpop006
L_disjuncta_OR_Lostine_River_3848	L_disjuncta_OR_Lostine_River	L_disjuncta_OR_Lostine_River	L_disjuncta_OR_Lostine_River	L_disjuncta_OR_Lostine_River	L_disjuncta_OR_Lostine_River
L_disjuncta_OR_Mt_Hood_4143	L_disjuncta_OR_Mt_Hood	L_disjuncta_OR_Mt_Hood	L_disjuncta_OR_Mt_Hood	L_disjuncta_OR_Mt_Hood	coalescentpop007
L_erasa_AK_Thompson_Pass_4059	L_erasa_AK_Thompson_Pass	L_erasa_AK_Thompson_Pass	L_erasa_AK_Thompson_Pass	L_erasa_AK_Thompson_Pass	L_erasa_AK_Thompson_Pass
L_erasa_BC_Cherryville_4002	L_erasa_BC_Cherryville	L_erasa_BC_Cherryville	L_erasa_BC_Cherryville	L_erasa_BC_Cherryville	coalescentpop010
L_erasa_OR_Lost_Prairie_5197	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie
L_erasa_OR_Lost_Prairie_5199	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie
L_erasa_OR_Lost_Prairie_5200	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie
L_erasa_OR_Lost_Prairie_5201	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie	L_erasa_OR_Lost_Prairie
L_erasa_OR_Marys_Peak_2575	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Marys_Peak_2586	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Marys_Peak_2615	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
L_erasa_OR_Marys_Peak_2616	coalescentpop004	coalescentpop005	coalescentpop006	coalescentpop007	coalescentpop009
