lineage	species	status
coalescentpop001	australerasa	1
coalescentpop002	australerasa	1
L_australerasa_CA_Martin_Meadow	australerasa	1
L_casta_CA_West_Branch_Mill_Creek	casta	1
coalescentpop005	casta	1
coalescentpop003	casta	1
coalescentpop004	casta	1
L_casta_OR_Lost_Prairie	casta	1
L_disjuncta_OR_Mt_Hood	disjuncta	0
L_disjuncta_OR_Lostine_River	disjuncta	1
L_disjuncta_CA_Lily_Lake	disjuncta	0
L_disjuncta_BC_Summit_Creek	disjuncta	1
L_disjuncta_CA_Emerson_Creek	disjuncta	1
L_disjuncta_MT_Mill_Creek	disjuncta	1
L_disjuncta_ID_Salmon_River	disjuncta	1
coalescentpop006	disjuncta	0
L_erasa_BC_Cherryville	erasa	1
L_erasa_OR_Lost_Prairie	erasa	1
L_erasa_OR_Mt_Hood	erasa	1
coalescentpop007	erasa	1
L_erasa_AK_Thompson_Pass	erasa	1
coalescentpop008	kavanaughi	0
coalescentpop009	kavanaughi	0
L_lindrothi_CA_Emerald_Lake	lindrothi	0
coalescentpop011	lindrothi	0
coalescentpop010	lindrothi	1
L_lindrothi_CA_South_Fork_Bishop_Creek	lindrothi	0
L_lindrothi_CA_Long_Valley_Creek	lindrothi	1
L_lindrothi_CA_Tioga_Lake	lindrothi	1
L_osculans_CA_Cold_Creek	osculans	1
coalescentpop015	osculans	1
coalescentpop014	osculans	1
coalescentpop013	osculans	1
coalescentpop012	osculans	1
L_osculans_OR_Little_Philips_Creek	osculans	1
L_osculans_CA_Strawberry_Creek	osculans	1
L_probata_MT_Mill_Creek	probata	1
L_probata_UT_Shingle_Creek	probata	0
coalescentpop023	probata	1
coalescentpop024	probata	0
L_probata_CA_Warner_Range	probata	1
L_probata_OR_Lostine_River_Valley	probata	1
L_probata_CA_Ellery_Lake	probata	1
L_probata_OR_Mt_Ashland	probata	1
L_probata_WA_Blue_Mountains	probata	1
coalescentpop019	probata	1
coalescentpop020	probata	1
coalescentpop021	probata	1
coalescentpop022	probata	1
coalescentpop016	probata	1
coalescentpop017	probata	1
coalescentpop018	probata	1
L_pseudoerasa_CA_Kaiser_Pass	pseudoerasa	1
coalescentpop025	pseudoerasa	1
coalescentpop026	sequoiae	1
coalescentpop027	sequoiae	1
L_tuulukwa_CA_Trinity_Alps	tuulukwa	0
L_tuulukwa_OR_Knowles_Creek	tuulukwa	0
L_tuulukwa_OR_Marys_Peak	tuulukwa	0
